Time [s], Analyzer Name, Decoded Protocol Result
4.986264500000000,SPI,MOSI: '0' (0x00);  MISO: '255' (0xFF)
4.986352333333333,SPI,MOSI: '0' (0x00);  MISO: '255' (0xFF)
4.986440166666666,SPI,MOSI: '0' (0x00);  MISO: '255' (0xFF)
5.001201166666666,SPI,MOSI: '0' (0x00);  MISO: '255' (0xFF)
5.001313000000000,SPI,MOSI: '0' (0x00);  MISO: '255' (0xFF)
5.001400750000000,SPI,MOSI: '0' (0x00);  MISO: '255' (0xFF)
5.001488583333333,SPI,MOSI: '0' (0x00);  MISO: '255' (0xFF)
5.001576333333333,SPI,MOSI: '0' (0x00);  MISO: '255' (0xFF)
5.001656166666667,SPI,MOSI: '0' (0x00);  MISO: '255' (0xFF)
5.001744000000000,SPI,MOSI: '0' (0x00);  MISO: '255' (0xFF)
5.001831833333333,SPI,MOSI: '0' (0x00);  MISO: '255' (0xFF)
5.001919666666667,SPI,MOSI: '0' (0x00);  MISO: '255' (0xFF)
5.002007416666666,SPI,MOSI: '0' (0x00);  MISO: '255' (0xFF)
5.002095250000000,SPI,MOSI: '0' (0x00);  MISO: '255' (0xFF)
5.002175083333333,SPI,MOSI: '0' (0x00);  MISO: '255' (0xFF)
5.002262833333333,SPI,MOSI: '0' (0x00);  MISO: '255' (0xFF)
5.002350666666667,SPI,MOSI: '0' (0x00);  MISO: '255' (0xFF)
5.002438500000000,SPI,MOSI: '0' (0x00);  MISO: '255' (0xFF)
5.002526333333333,SPI,MOSI: '0' (0x00);  MISO: '255' (0xFF)
5.017343833333333,SPI,MOSI: '0' (0x00);  MISO: '255' (0xFF)
5.017671083333333,SPI,MOSI: '0' (0x00);  MISO: '255' (0xFF)
5.017750916666667,SPI,MOSI: '0' (0x00);  MISO: '255' (0xFF)
5.017838750000000,SPI,MOSI: '0' (0x00);  MISO: '255' (0xFF)
5.017926500000000,SPI,MOSI: '0' (0x00);  MISO: '255' (0xFF)
5.018014333333333,SPI,MOSI: '0' (0x00);  MISO: '255' (0xFF)
5.018102166666667,SPI,MOSI: '0' (0x00);  MISO: '255' (0xFF)
5.018190000000000,SPI,MOSI: '0' (0x00);  MISO: '255' (0xFF)
5.018277750000000,SPI,MOSI: '0' (0x00);  MISO: '255' (0xFF)
5.018365583333333,SPI,MOSI: '0' (0x00);  MISO: '255' (0xFF)
5.018445416666666,SPI,MOSI: '0' (0x00);  MISO: '255' (0xFF)
5.018533250000000,SPI,MOSI: '0' (0x00);  MISO: '255' (0xFF)
5.018621000000000,SPI,MOSI: '0' (0x00);  MISO: '255' (0xFF)
5.018708833333333,SPI,MOSI: '0' (0x00);  MISO: '255' (0xFF)
5.018796666666667,SPI,MOSI: '0' (0x00);  MISO: '255' (0xFF)
5.018884416666666,SPI,MOSI: '0' (0x00);  MISO: '255' (0xFF)
5.033549833333334,SPI,MOSI: '0' (0x00);  MISO: '255' (0xFF)
5.033773333333333,SPI,MOSI: '0' (0x00);  MISO: '255' (0xFF)
5.033964916666666,SPI,MOSI: '0' (0x00);  MISO: '255' (0xFF)
5.034084666666667,SPI,MOSI: '0' (0x00);  MISO: '255' (0xFF)
5.034252333333334,SPI,MOSI: '0' (0x00);  MISO: '255' (0xFF)
5.034404000000000,SPI,MOSI: '0' (0x00);  MISO: '255' (0xFF)
5.034635500000000,SPI,MOSI: '0' (0x00);  MISO: '255' (0xFF)
5.034731250000000,SPI,MOSI: '0' (0x00);  MISO: '255' (0xFF)
5.035018583333334,SPI,MOSI: '0' (0x00);  MISO: '255' (0xFF)
5.035146333333334,SPI,MOSI: '0' (0x00);  MISO: '255' (0xFF)
5.035321916666667,SPI,MOSI: '0' (0x00);  MISO: '255' (0xFF)
5.035465666666667,SPI,MOSI: '0' (0x00);  MISO: '255' (0xFF)
5.035753000000000,SPI,MOSI: '0' (0x00);  MISO: '255' (0xFF)
5.035864750000000,SPI,MOSI: '0' (0x00);  MISO: '255' (0xFF)
5.036192000000000,SPI,MOSI: '0' (0x00);  MISO: '255' (0xFF)
5.036271833333333,SPI,MOSI: '0' (0x00);  MISO: '255' (0xFF)
5.049643583333333,SPI,MOSI: '0' (0x00);  MISO: '255' (0xFF)
5.050042666666666,SPI,MOSI: '0' (0x00);  MISO: '255' (0xFF)
5.050130500000000,SPI,MOSI: '0' (0x00);  MISO: '255' (0xFF)
5.050218250000000,SPI,MOSI: '0' (0x00);  MISO: '255' (0xFF)
5.050298083333334,SPI,MOSI: '0' (0x00);  MISO: '255' (0xFF)
5.050385916666666,SPI,MOSI: '0' (0x00);  MISO: '255' (0xFF)
5.050473750000000,SPI,MOSI: '0' (0x00);  MISO: '255' (0xFF)
5.050561500000000,SPI,MOSI: '0' (0x00);  MISO: '255' (0xFF)
5.050649333333333,SPI,MOSI: '0' (0x00);  MISO: '255' (0xFF)
5.050737166666667,SPI,MOSI: '0' (0x00);  MISO: '255' (0xFF)
5.050825000000000,SPI,MOSI: '0' (0x00);  MISO: '255' (0xFF)
5.050904750000000,SPI,MOSI: '0' (0x00);  MISO: '255' (0xFF)
5.050992583333334,SPI,MOSI: '0' (0x00);  MISO: '255' (0xFF)
5.051080416666666,SPI,MOSI: '0' (0x00);  MISO: '255' (0xFF)
5.051168166666667,SPI,MOSI: '0' (0x00);  MISO: '255' (0xFF)
5.051256000000000,SPI,MOSI: '0' (0x00);  MISO: '255' (0xFF)
5.065617500000000,SPI,MOSI: '0' (0x00);  MISO: '255' (0xFF)
5.066024583333333,SPI,MOSI: '0' (0x00);  MISO: '255' (0xFF)
5.066112333333334,SPI,MOSI: '0' (0x00);  MISO: '255' (0xFF)
5.066200166666667,SPI,MOSI: '0' (0x00);  MISO: '255' (0xFF)
5.066288000000000,SPI,MOSI: '0' (0x00);  MISO: '255' (0xFF)
5.066375750000000,SPI,MOSI: '0' (0x00);  MISO: '255' (0xFF)
